RA_ITEMID,SEQ_NUMBER,PARCEL,FACEVALUE,PREMIUM
2971643,230796,1975-31-4-41-101,1539.14,
2971644,230797,1975-32-1-03-008,99.34,
2971645,230800,1975-32-1-18-002,2816.7,
2971646,230801,1975-32-2-01-024,2615.04,
2971647,230807,1975-32-2-05-013,2610.66,
2971648,230808,1975-32-2-07-051,2591.93,
2971649,230810,1975-32-2-12-020,1290.8,
2971650,230815,1975-32-3-06-006,2701,
2971651,230817,1975-32-3-08-038,2582.92,
2971652,230818,1975-32-3-09-023,2516.52,
2971653,230821,1975-32-3-12-057,2533.7,
2971654,230827,1975-32-4-05-009,4628.54,
2971655,230828,1975-32-4-09-012,1907.98,
2971656,230833,1975-32-4-19-001,1346.25,
2971657,230835,1975-33-1-01-005,2804.78,
2971658,230836,1975-33-1-03-004,2534.47,
2971659,230842,1975-33-2-08-008,2720.45,
2971660,230843,1975-33-2-12-016,2745.79,
2971661,230844,1975-33-2-14-002,1367.76,
2971662,230851,1975-34-2-01-009,1727.14,
2971663,230856,1975-34-3-03-038,1014.33,
2971664,230862,1977-00-0-00-160,2827.4,
2971665,230863,1977-00-0-00-818,24.95,
2971666,230864,1977-00-0-04-005,4216.81,
2971667,230865,1977-07-4-01-001,6298.97,
2971668,230866,1977-07-4-02-008,4441.94,
2971669,230867,1977-07-4-03-012,8904.78,
2971670,230868,1977-07-4-03-013,3549.02,
2971671,230869,1979-00-0-00-085,2421.68,
2971672,230870,1979-00-0-00-094,100.67,
2971673,230871,1979-00-0-01-006,1387.93,
2971674,230873,1981-00-0-01-012,1577.07,
2971675,230874,1981-00-0-01-016,1395.35,
2971676,230877,1983-04-1-02-008,543.66,
2971677,230879,1985-00-0-00-818,27.69,
2971678,230880,1985-00-0-00-827,35.05,
2971679,230881,1985-00-0-00-842,32.27,
2971680,230882,1985-08-4-00-002,25.86,
2971681,230885,1985-09-2-09-004,75.21,
2971682,230886,1985-09-2-09-010,370.12,
2971683,230887,1985-09-2-09-011,132.18,
2971684,230888,1985-09-2-10-006,127.38,
2971685,230891,1985-09-2-10-021,135.04,
2971686,230892,1985-09-2-11-006,127.38,
2971687,230894,1985-09-2-11-018,127.38,
2971688,230895,1985-09-2-11-019,131.08,
2971689,230896,1985-09-3-00-001,34.36,
2971690,230900,1985-09-3-02-008,722.42,
2971691,230901,1985-09-3-05-006,514.96,
2971692,230902,1985-09-3-05-007,4514.16,
2971693,230903,1985-16-2-00-001,625.76,
2971694,230904,1985-16-2-00-040,34.36,
2971695,230905,1985-16-2-00-099,34.36,
2971696,230906,1985-16-2-02-005,582.68,
2971697,230907,1985-16-2-06-008,722.42,
2971698,230908,1985-17-1-00-004,907.7,
2971699,230910,1987-00-0-00-849,24.65,
2971700,230911,1987-00-0-00-855,24.63,
2971701,230912,1987-00-0-00-859,27.65,
2971702,230913,1987-00-0-00-861,24.63,
2971703,230917,2055-00-0-00-822,35.33,
2971704,230918,2059-18-3-00-801,24.22,
2971705,230920,2059-18-3-17-005,35.62,
2971706,230921,2061-00-0-00-826,35.26,
2971707,230922,2061-00-0-00-828,25.79,
2971708,230923,2061-00-0-00-831,24.96,
2971709,230924,2061-00-0-00-832,25.12,
2971710,230925,2061-00-0-00-841,24.47,
2971711,230926,2061-00-0-00-859,24.47,
2971712,230927,2061-00-0-00-874,24.45,
2971713,230928,2061-00-0-00-888,24.45,
2971714,230929,2061-13-1-20-002,563.35,
2971715,230930,2061-13-1-27-006,450.41,
2971716,230931,2061-13-4-07-004,374.87,
2971717,230932,2061-13-4-09-007,450.64,
2971718,230933,2061-13-4-09-011,321.59,
2971719,230936,2061-13-4-11-022,670.95,
2971720,230941,2063-00-0-00-849,30.63,
2971721,230942,2065-00-0-00-175,230.25,
2971722,230944,2067-00-0-01-007,1464.6,
2971723,230946,2071-00-0-00-822,31.25,
2971724,230947,2073-03-1-13-004,601.62,
2971725,230952,2073-03-2-01-009,1893.05,
2971726,230953,2073-03-2-04-008,1028.48,
2971727,230958,2073-03-2-21-009,1708.76,
2971728,230964,2073-03-3-10-012,1917.23,
2971729,230966,2073-03-3-19-016,1079.6,
2971730,230968,2073-03-3-24-001,1438.97,
2971731,230970,2073-03-4-06-002,1729.22,
2971732,230971,2073-03-4-11-008,1845.62,
2971733,230973,2073-03-4-22-026,1818.12,
2971734,230974,2073-03-4-22-036,1016.46,
2971735,230976,2073-03-4-23-012,2081.52,
2971736,230978,2073-04-1-10-003,33.91,
2971737,230982,2073-04-1-28-025,1106.12,
2971738,230984,2073-04-2-07-007,30.38,
2971739,230985,2073-04-2-16-002,1994.27,
2971740,230986,2073-04-3-04-012,1714.71,
2971741,230988,2073-04-3-10-006,1660.85,
2971742,230991,2073-04-3-30-020,717.76,
2971743,230993,2073-04-4-16-009,916.16,
2971744,230994,2073-04-4-17-003,1720.6,
2971745,230996,2073-05-1-01-056,1327.46,
2971746,230998,2073-05-1-05-018,1628.01,
2971747,231002,2073-05-1-08-016,2044.34,
2971748,231007,2073-05-1-13-034,1639.32,
2971749,231010,2073-05-1-16-005,32.99,
2971750,231011,2073-05-1-17-010,1708.29,
2971751,231014,2073-05-2-01-084,1017.78,
2971752,231015,2073-05-2-01-089,1537.01,
2971753,231024,2073-05-3-04-057,1357.6,
2971754,231029,2073-05-4-01-008,1711.56,
2971755,231030,2073-05-4-03-006,1863.36,
2971756,231032,2073-05-4-08-021,2097.72,
2971757,231040,2073-05-4-20-004,1410.37,
2971758,231044,2073-06-1-07-014,3510.7,
2971759,231045,2073-06-1-12-024,1290.81,
2971760,231046,2073-06-1-12-046,1338.24,
2971761,231048,2073-06-1-13-082,1289.16,
2971762,231049,2073-06-1-14-006,822.08,
2971763,231051,2073-06-1-19-023,1022.6,
2971764,231052,2073-06-1-21-009,970.89,
2971765,231057,2073-06-3-23-025,1218.24,
2971766,231059,2073-07-1-05-023,35.31,
2971767,231061,2073-07-1-13-007,1814.8,
2971768,231063,2073-07-1-15-018,1789.26,
2971769,231065,2073-07-2-06-001,2758.29,
2971770,231066,2073-07-2-12-001,14914.45,
2971771,231067,2073-07-2-13-143,1166.19,
2971772,231069,2073-07-2-22-037,947.04,
2971773,231070,2073-07-2-22-046,1136.83,
2971774,231071,2073-07-2-23-046,1706.89,
2971775,231072,2073-07-2-23-057,1701.49,
2971776,231073,2073-07-2-23-070,1717.73,
2971777,231074,2073-07-3-08-007,2626.12,
2971778,231075,2073-07-3-09-010,2736.79,
2971779,231078,2073-08-1-23-026,1569.89,
2971780,231079,2073-08-1-24-015,666.44,
2971781,231081,2073-08-2-02-022,35.31,
2971782,231084,2073-08-2-13-009,1008.22,
2971783,231085,2073-08-2-15-019,1283.86,
2971784,231089,2073-08-3-05-007,2388.6,
2971785,231093,2073-08-4-07-016,834.08,
2971786,231094,2073-08-4-15-001,952.97,
2971787,231096,2073-09-3-08-032,1745.41,
2971788,231101,2073-10-2-10-002,996.22,
2971789,231102,2073-16-1-13-007,41.25,
2971790,231103,2073-16-1-21-016,3045.46,
2971791,231106,2073-16-1-30-036,3608.99,
2971792,231107,2073-16-1-36-012,3137.7,
2971793,231113,2073-16-2-25-011,1354.53,
2971794,231114,2073-16-2-29-003,3489.9,
2971795,231115,2073-16-2-36-006,3079.93,
2971796,231117,2073-16-2-36-048,1597.09,
2971797,231118,2073-16-3-01-004,3100.49,
2971798,231120,2073-16-3-15-009,3491.44,
2971799,231121,2073-19-3-04-005,5627.52,
2971800,231122,2073-20-1-03-021,6012.51,
2971801,231124,2073-23-1-01-014,4272.46,
2971802,231125,2073-27-2-03-008,10066.88,
2971803,231126,2073-28-4-03-005,4448.67,
2971804,231127,2073-29-4-00-001,35085.5,
2971805,231128,2073-30-1-02-006,154075.1,
2971806,231129,2073-33-1-05-018,37.33,
2971807,231130,2073-34-1-01-008,3205.62,
2971808,231131,2075-05-3-06-021,3910.22,
2971809,231132,2075-05-3-09-002,7893.04,
2971810,231133,2075-06-2-09-001,17518.47,
2971811,231135,2075-06-3-04-016,38.72,
2971812,231136,2075-06-4-19-006,8434.61,
2971813,231137,2075-08-2-02-002,220.74,
2971814,231138,2075-10-2-03-001,4439.11,
2971815,231139,2075-10-2-08-008,4338.79,
2971816,231140,2075-10-2-10-015,3919.2,
2971817,231141,2075-10-3-02-014,3094.23,
2971818,231142,2075-10-3-07-002,3617.3,
2971819,231144,2075-12-1-00-003,18688.97,
2971820,231145,2075-14-2-03-015,7193.9,
2971821,231146,2075-14-2-13-016,9698.45,
2971822,231147,2075-14-2-23-003,9135.27,
2971823,231148,2075-14-2-25-003,3606.34,
2971824,231153,2075-15-2-06-002,102.95,
2971825,231154,2075-15-2-07-020,8492.1,
2971826,231155,2075-15-3-02-047,121.02,
2971827,231157,2075-15-4-02-005,2497.35,
2971828,231158,2075-17-3-05-002,5460.22,
2971829,231159,2075-19-1-04-011,4638.69,
2971830,231160,2075-19-2-09-007,1984.99,
2971831,231161,2075-19-2-09-023,3672.17,
2971832,231162,2075-19-2-13-004,42.09,
2971833,231163,2075-19-3-04-007,3613.9,
2971834,231164,2075-19-3-11-014,3910.02,
2971835,231167,2075-20-1-04-017,3122.64,
2971836,231168,2075-20-1-05-014,4216.46,
2971837,231169,2075-20-2-12-012,3546.36,
2971838,231170,2075-20-2-14-002,4103.75,
2971839,231173,2075-21-3-14-003,13059.23,
2971840,231174,2075-21-4-05-022,63252.06,
2971841,231175,2075-22-1-06-038,4422.54,
2971842,231176,2075-22-1-06-049,3073.23,
2971843,231177,2075-22-4-14-050,1224.31,
2971844,231178,2075-22-4-16-016,1512.22,
2971845,231179,2075-22-4-16-017,1512.22,
2971846,231180,2075-22-4-20-004,1971.97,
2971847,231181,2075-23-2-21-005,4999.75,
2971848,231183,2075-24-3-05-007,38.96,
2971849,231184,2075-24-3-06-007,38.96,
2971850,231185,2075-24-3-09-008,6313.46,
2971851,231186,2075-28-1-14-026,3026.59,
2971852,231187,2075-28-1-15-004,3057.23,
2971853,231188,2075-28-1-17-006,3731.27,
2971854,231190,2075-28-2-10-057,3615.88,
2971855,231192,2075-28-3-25-013,3312.6,
2971856,231194,2075-28-4-14-017,1957.55,
2971857,231196,2075-29-4-13-008,5812.95,
2971858,231198,2075-30-2-01-001,2832.68,
2971859,231199,2075-30-2-06-009,3026.32,
2971860,231201,2075-30-2-14-003,2663.2,
2971861,231202,2075-30-2-20-009,3534.88,
2971862,231203,2075-30-2-22-023,3841,
2971863,231204,2075-30-2-25-018,3565.21,
2971864,231207,2075-30-3-13-035,5014.57,
2971865,231208,2075-30-4-03-001,3487.22,
2971866,231209,2075-30-4-04-016,2255.29,
2971867,231212,2075-31-2-01-001,8845.54,
2971868,231213,2075-32-1-00-028,39.13,
2971869,231215,2075-32-1-12-039,3530.15,
2971870,231216,2075-32-2-05-001,4790.95,
2971871,231217,2075-32-2-05-002,2275.23,
2971872,231218,2075-32-2-10-048,6411.9,
2971873,231219,2075-32-3-08-009,5243.42,
2971874,231220,2075-32-3-10-015,5108.14,
2971875,231221,2075-32-4-01-010,40.03,
2971876,231222,2075-33-1-06-050,2633.62,
2971877,231223,2075-33-1-06-074,5087.8,
2971878,231224,2075-33-2-02-063,3637.16,
2971879,231226,2077-01-1-03-011,17415.47,
2971880,231228,2077-01-4-04-014,55845.72,
2971881,231233,2077-03-1-07-001,4860.61,
2971882,231234,2077-03-1-10-004,35.3,
2971883,231235,2077-03-1-10-011,1868.34,
2971884,231236,2077-03-1-13-003,2726.78,
2971885,231237,2077-03-1-17-001,7655.35,
2971886,231238,2077-03-1-19-013,1967.99,
2971887,231239,2077-03-2-01-009,2061.67,
2971888,231240,2077-03-2-01-017,35.3,
2971889,231241,2077-03-2-12-010,10622.16,
2971890,231242,2077-03-2-18-008,1658.12,
2971891,231243,2077-03-2-20-018,2322.24,
2971892,231245,2077-03-2-26-011,874.72,
2971893,231247,2077-03-2-33-006,2207.89,
2971894,231248,2077-03-3-01-008,1205.25,
2971895,231249,2077-03-3-05-005,2264.78,
2971896,231250,2077-03-3-05-006,1940.88,
2971897,231251,2077-03-3-06-003,1960.91,
2971898,231252,2077-03-3-08-006,2591.96,
2971899,231253,2077-03-3-11-006,1298.44,
2971900,231254,2077-03-3-13-017,12347.34,
2971901,231255,2077-03-3-20-009,2277.22,
2971902,231256,2077-03-3-23-019,8499.39,
2971903,231257,2077-03-3-27-004,1517.31,
2971904,231258,2077-03-3-31-018,2090.35,
2971905,231259,2077-03-4-04-004,2077.42,
2971906,231260,2077-03-4-04-012,2211.76,
2971907,231263,2077-03-4-19-003,1773,
2971908,231264,2077-03-4-25-011,5308.56,
2971909,231267,2077-04-1-08-007,11828.83,
2971910,231268,2077-04-1-08-008,13996.95,
2971911,231270,2077-04-4-11-016,1963.64,
2971912,231271,2077-05-1-00-005,18240.87,
2971913,231272,2077-05-1-00-006,11845.1,
2971914,231273,2077-05-1-00-039,764.78,
2971915,231275,2077-05-2-03-003,1981.02,
2971916,231277,2077-05-2-12-028,3596.64,
2971917,231279,2077-05-2-15-007,2227.75,
2971918,231280,2077-05-2-16-031,38.4,
2971919,231281,2077-05-3-01-029,2020.05,
2971920,231283,2077-05-4-04-013,2127.51,
2971921,231287,2077-07-4-17-013,3521.34,
2971922,231289,2077-08-2-02-037,173.65,
2971923,231290,2077-08-2-04-013,2723.05,
2971924,231291,2077-08-2-09-034,1817.68,
2971925,231293,2077-08-3-06-026,2541.87,
2971926,231294,2077-08-3-10-005,1157.65,
2971927,231295,2077-08-4-00-041,1964.67,
2971928,231296,2077-08-4-01-002,1780.97,
2971929,231298,2077-09-1-13-010,2201.96,
2971930,231299,2077-09-1-18-001,1959.32,
2971931,231301,2077-09-4-07-003,2952.71,
2971932,231302,2077-09-4-13-001,1424.7,
2971933,231304,2077-10-1-08-004,8092.65,
2971934,231305,2077-10-1-08-005,7279,
2971935,231306,2077-10-1-09-011,1763.73,
2971936,231308,2077-10-1-16-010,1173.36,
2971937,231309,2077-10-1-17-023,2041.11,
2971938,231310,2077-10-1-18-006,2042.21,
2971939,231311,2077-10-1-25-004,6175.99,
2971940,231312,2077-10-1-27-002,1553.6,
2971941,231313,2077-10-1-30-016,2023.16,
2971942,231314,2077-10-1-31-020,1964.71,
2971943,231316,2077-10-2-02-011,1665.22,
2971944,231317,2077-10-2-13-018,1554.72,
2971945,231320,2077-10-3-01-008,1594.22,
2971946,231321,2077-10-3-03-007,1904.64,
2971947,231324,2077-10-3-19-007,1137.98,
2971948,231325,2077-10-3-20-004,1950.14,
2971949,231326,2077-10-3-20-008,2845.99,
2971950,231327,2077-10-4-02-016,920.32,
2971951,231328,2077-10-4-09-007,8002.17,
2971952,231329,2077-10-4-09-008,4815.41,
2971953,231331,2077-10-4-09-010,5901.32,
2971954,231332,2077-10-4-23-006,2125.07,
2971955,231333,2077-10-4-26-009,3312.85,
2971956,231335,2077-11-1-01-010,8950.87,
2971957,231336,2077-11-1-01-024,38.72,
2971958,231340,2077-11-3-01-006,11513.9,
2971959,231343,2077-14-1-06-018,11861.63,
2971960,231344,2077-14-1-06-027,11564.15,
2971961,231345,2077-14-4-17-007,5268.56,
2971962,231347,2077-15-2-19-025,1301.81,
2971963,231350,2077-15-3-09-001,189.65,
2971964,231351,2077-15-3-10-012,378.24,
2971965,231352,2077-15-3-17-023,1710.24,
2971966,231353,2077-15-3-18-005,3618.16,
2971967,231354,2077-15-3-21-014,25258.06,
2971968,231355,2077-15-3-21-015,361.74,
2971969,231358,2077-15-4-08-019,5049.73,
2971970,231361,2077-16-1-08-035,3378.18,
2971971,231362,2077-16-1-17-005,4355.44,
2971972,231364,2077-16-2-01-008,27589.33,
2971973,231365,2077-16-2-03-004,2425.3,
2971974,231366,2077-16-2-07-005,3096.11,
2971975,231367,2077-16-2-14-001,30298.57,
2971976,231369,2077-16-3-13-005,23541.16,
2971977,231370,2077-16-3-15-016,1213.08,
2971978,231372,2077-16-4-07-001,2812.9,
2971979,231373,2077-16-4-08-006,3654.67,
2971980,231374,2077-16-4-11-005,1829.15,
2971981,231375,2077-16-4-17-005,1292.1,
2971982,231376,2077-16-4-20-006,11547.67,
2971983,231377,2077-17-2-05-019,3102.05,
2971984,231378,2077-17-2-08-001,69.12,
2971985,231379,2077-17-2-08-018,2809.39,
2971986,231380,2077-17-3-04-011,3696.73,
2971987,231381,2077-17-3-05-005,2785.85,
2971988,231383,2077-17-4-05-004,42364.31,
2971989,231384,2077-17-4-06-008,13003.32,
2971990,231385,2077-17-4-14-001,9046.45,
2971991,231386,2077-18-1-19-018,3999.36,
2971992,231387,2077-19-1-03-005,3242.53,
2971993,231388,2077-19-1-16-019,2195.89,
2971994,231390,2077-19-1-18-001,42.92,
2971995,231391,2077-19-3-00-018,5459.57,
2971996,231392,2077-19-3-03-004,2751.58,
2971997,231393,2077-19-3-03-007,4876.09,
2971998,231394,2077-20-3-02-003,9554.02,
2971999,231395,2077-21-1-08-002,3745.77,
2972000,231396,2077-21-2-05-013,1637.16,
2972001,231397,2077-21-2-18-012,3224.9,
2972002,231398,2077-21-3-01-015,3287.08,
2972003,231399,2077-21-3-08-008,3495.87,
2972004,231400,2077-21-3-18-038,3023.65,
2972005,231402,2077-21-4-04-027,2867.34,
2972006,231404,2077-22-1-06-019,41.13,
2972007,231405,2077-22-1-09-005,3927.79,
2972008,231407,2077-22-1-10-023,1179.24,
2972009,231408,2077-22-1-10-033,1179.24,
2972010,231409,2077-22-2-01-011,3373.13,
2972011,231410,2077-22-2-13-009,3740.51,
2972012,231411,2077-22-2-22-012,1529.07,
2972013,231412,2077-22-3-14-003,3376.94,
2972014,231413,2077-22-4-04-016,4197.13,
2972015,231414,2077-22-4-07-003,3796.76,
2972016,231416,2077-23-2-00-009,41.13,
2972017,231418,2077-23-2-01-027,4523.23,
2972018,231424,2077-23-3-23-005,3421.21,
2972019,231425,2077-23-3-25-002,2639.1,
2972020,231427,2077-23-4-06-015,4134.69,
2972021,231428,2077-23-4-09-006,1303.87,
2972022,231429,2077-23-4-09-012,4613.54,
2972023,231430,2077-24-1-01-021,41.21,
2972024,231437,2077-24-2-09-001,3807.88,
2972025,231438,2077-24-2-12-014,3449.74,
2972026,231439,2077-24-2-13-010,3493,
2972027,231441,2077-24-2-15-028,3588.94,
2972028,231443,2077-24-3-07-001,5591.9,
2972029,231447,2077-25-1-04-001,4667.03,
2972030,231448,2077-25-1-09-033,1708.46,
2972031,231449,2077-25-1-21-016,2022.12,
2972032,231450,2077-25-2-02-008,3269.81,
2972033,231451,2077-25-3-01-046,146.25,
2972034,231452,2077-25-3-06-009,3100.09,
2972035,231453,2077-25-3-07-013,3048.4,
2972036,231454,2077-25-3-07-080,3081.92,
2972037,231455,2077-25-3-07-124,3068.93,
2972038,231456,2077-25-4-02-010,4133.64,
2972039,231457,2077-25-4-03-069,4685.52,
2972040,231458,2077-25-4-06-066,4511.67,
2972041,231459,2077-25-4-08-001,4691.3,
2972042,231460,2077-26-1-12-003,41.13,
2972043,231461,2077-26-2-10-010,3205.02,
2972044,231462,2077-26-2-12-024,4165.92,
2972045,231463,2077-26-2-15-004,2837.59,
2972046,231465,2077-26-3-04-003,4557.58,
2972047,231466,2077-26-4-02-007,3533.94,
2972048,231467,2077-26-4-06-001,3214.93,
2972049,231468,2077-26-4-25-032,2102.65,
2972050,231469,2077-26-4-27-058,524.11,
2972051,231470,2077-27-1-22-021,1322.99,
2972052,231471,2077-27-1-22-061,1216.67,
2972053,231473,2077-27-1-22-107,631.45,
2972054,231474,2077-27-1-22-177,46.86,
2972055,231475,2077-27-1-22-214,1409.1,
2972056,231476,2077-27-1-22-291,65.71,
2972057,231477,2077-27-3-01-042,2131.22,
2972058,231478,2077-27-3-01-044,3113.81,
2972059,231479,2077-27-4-12-001,1706.02,
2972060,231481,2077-28-1-16-002,5280.54,
2972061,231482,2077-28-1-19-031,2532.6,
2972062,231484,2077-28-2-11-052,4206.02,
2972063,231485,2077-28-4-11-016,3889.97,
2972064,231486,2077-29-1-03-019,4364.94,
2972065,231487,2077-29-1-16-029,39.76,
2972066,231488,2077-30-1-02-004,4220.54,
2972067,231490,2077-32-1-05-010,2679.44,
2972068,231495,2077-33-2-12-019,4343.71,
2972069,231496,2077-34-1-04-002,3596.67,
2972070,231499,2077-35-1-03-012,1037.71,
2972071,231503,2077-35-2-21-035,116.25,
2972072,231504,2077-35-3-16-002,3657.07,
2972073,231505,2077-36-1-08-026,5443.11,
2972074,231506,2077-36-2-02-007,4567.53,
2972075,231507,2077-36-2-02-025,4918.9,
2972076,231508,2077-36-2-09-002,4480.91,
2972077,231509,2077-36-2-19-020,1484.44,
2972078,231511,2077-36-3-05-020,5071.26,
2972079,231512,2077-36-3-13-017,6117.9,
2972080,231513,2077-36-4-13-009,5739.67,
2972081,231515,2061-13-1-12-002,2411.48,
2972082,231516,1973-12-2-15-159,2055.17,
2972083,231517,1973-35-2-19-025,1923.5,
2972084,231518,1975-19-3-14-044,1955.06,
2972085,231519,1975-17-1-08-005,1507.74,
2972086,231521,1975-17-1-10-010,2662.86,
2972087,231526,2073-03-4-31-033,1273.62,
2972088,231527,2073-03-4-32-027,1856.38,
2972089,231533,2077-24-3-17-004,46339.02,
2972090,231535,1975-07-3-09-023,1854.13,
2972091,231536,2077-27-3-15-003,23456.74,
2972092,231538,2073-06-4-13-318,92.09,
2972093,231540,1975-07-3-08-043,939.51,
2972094,231542,1975-07-3-08-050,973.02,
2972095,231543,1973-18-4-03-007,1806.16,
2972096,231544,1975-19-1-22-016,1209.06,
2972097,231545,1973-18-4-03-058,1806.16,
2972098,231546,1973-18-4-03-093,788.94,
2972099,231547,2073-04-3-39-011,816.81,
2972100,231548,1973-18-4-03-158,2055.82,
2972101,231549,1975-16-4-23-020,1212.73,
2972102,231550,1975-17-2-15-011,732.65,
2972103,231551,1975-17-2-15-026,1356.92,
2972104,231554,1975-21-3-15-020,1185.12,
2972105,231555,1975-21-3-15-040,1301.57,
2972106,231556,1975-18-4-19-002,495.19,
2972107,231557,1983-00-0-00-293,132.66,
2972108,231558,2073-17-3-01-010,2202.15,
2972109,231559,2075-22-2-14-022,5174.54,
2972110,231561,2073-09-3-32-019,1669.46,
2972111,231563,2073-09-4-13-019,1906.99,
2972112,231564,1973-18-4-04-019,1806.16,
2972113,231565,1973-18-4-04-045,1670.94,
2972114,231569,1975-18-4-21-076,1102.2,
2972115,231570,1975-17-1-12-019,985.71,
2972116,231573,2077-32-1-09-162,2421.98,
